year,mean change
1992.9614,-16.03
1992.9865,-17.73
1993.0123,-14.63
1993.0407,-19.63
1993.066,-25.03
1993.0974,-29.13
1993.1206,-27.43
1993.1493,-21.63
1993.1765,-18.73
1993.2037,-19.23
1993.2307,-22.73
1993.2851,-26.03
1993.3123,-19.83
1993.3394,-19.63
1993.3665,-16.93
1993.3937,-21.83
1993.4208,-26.53
1993.448,-23.53
1993.4751,-18.73
1993.5021,-15.43
1993.5294,-16.03
1993.5837,-22.83
1993.6117,-18.63
1993.6381,-13.23
1993.6652,-8.13
1993.6923,-8.83
1993.7189,-13.93
1993.7466,-13.33
1993.7738,-7.83
1993.8009,-8.13
1993.8553,-5.23
1993.8824,-11.83
1993.9098,-13.43
1993.9367,-12.23
1993.9639,-5.93
1993.9907,-5.33
1994.0181,-15.23
1994.0452,-16.23
1994.0723,-18.63
1994.0995,-20.93
1994.1267,-19.83
1994.1539,-13.83
1994.1809,-13.33
1994.2353,-18.43
1994.2624,-16.23
1994.2896,-14.13
1994.3168,-11.63
1994.3439,-15.43
1994.371,-20.33
1994.3982,-23.43
1994.4253,-20.53
1994.4524,-14.13
1994.5067,-20.23
1994.5339,-18.53
1994.561,-20.53
1994.5882,-15.63
1994.6154,-11.73
1994.6425,-7.33
1994.6697,-8.53
1994.6968,-9.53
1994.7239,-10.93
1994.751,-8.73
1994.7782,-6.33
1994.8054,0.17
1994.8325,-1.53
1994.8868,-10.53
1994.914,-11.83
1994.9412,-3.23
1994.9684,-3.63
1994.9955,-8.13
1995.0226,-12.23
1995.0497,-15.83
1995.0769,-8.43
1995.104,-9.73
1995.1312,-11.53
1995.1583,-12.23
1995.2127,-11.23
1995.2398,-16.63
1995.2669,-11.13
1995.2941,-9.03
1995.3212,-13.03
1995.3755,-17.83
1995.4028,-14.73
1995.4298,-9.23
1995.4569,-12.33
1995.4841,-17.63
1995.5384,-20.53
1995.5655,-15.43
1995.5927,-11.53
1995.6199,-7.23
1995.647,-10.83
1995.674,-10.63
1995.7013,-6.33
1995.7285,2.07
1995.7556,0.07
1995.7827,-0.93
1995.8371,-5.23
1995.8643,-4.93
1995.8899,-1.53
1995.9456,-1.23
1995.9728,-3.23
1995.9998,-10.13
1996.027,-13.13
1996.0533,-11.63
1996.0814,-7.33
1996.1084,-4.13
1996.1631,-11.23
1996.1899,-14.43
1996.2171,-11.13
1996.2442,-6.83
1996.2714,-10.03
1996.2985,-14.53
1996.3257,-14.83
1996.3529,-12.43
1996.38,-9.83
1996.4071,-7.83
1996.4342,-10.63
1996.4886,-15.83
1996.5157,-13.13
1996.5429,-7.73
1996.57,-2.63
1996.5972,-4.83
1996.6244,-9.83
1996.6515,-9.83
1996.6786,-10.03
1996.7053,-2.63
1996.7335,4.87
1996.76,6.37
1996.8144,12.97
1996.8415,12.87
1996.8687,9.07
1996.8959,1.87
1996.923,-1.73
1996.9501,-5.83
1996.977,-13.13
1997.0044,-10.33
1997.0316,-5.43
1997.0587,-6.63
1997.0858,-7.93
1997.1402,-12.63
1997.1673,-10.63
1997.1944,-9.03
1997.2216,-6.93
1997.2487,-8.73
1997.2759,-12.83
1997.303,-15.53
1997.3302,-11.53
1997.3573,-6.23
1997.3844,-8.63
1997.4116,-8.53
1997.4659,-15.23
1997.4928,-9.73
1997.5202,-6.13
1997.5474,0.17
1997.5745,-4.33
1997.6288,-4.53
1997.656,-0.33
1997.683,4.47
1997.7103,9.07
1997.7374,6.47
1997.7917,4.37
1997.8189,6.67
1997.846,10.87
1997.8731,4.87
1997.9001,-0.63
1997.9274,-4.43
1997.9546,-7.93
1997.9817,-2.93
1998.0083,-1.63
1998.036,-0.93
1998.0903,-8.23
1998.1174,-8.53
1998.1446,-6.13
1998.1717,-4.03
1998.1989,-3.73
1998.2261,-7.03
1998.2532,-10.93
1998.2792,-9.23
1998.3075,-4.63
1998.3347,-3.53
1998.3617,-7.03
1998.4158,-16.03
1998.4432,-13.83
1998.4704,-10.13
1998.4976,-3.43
1998.5247,-4.53
1998.5518,-9.33
1998.6062,-7.13
1998.6333,-4.33
1998.6604,0.07
1998.6876,0.57
1998.7147,-4.93
1998.7419,-4.43
1998.7689,-2.33
1998.8234,6.77
1998.8505,2.77
1998.8775,-3.83
1998.9046,-9.93
1998.9319,-3.73
1998.9591,-3.03
1998.9862,0.37
1999.0133,-3.93
1999.0405,-6.63
1999.0948,-10.93
1999.1256,3.97
1999.1491,-1.03
1999.1763,-6.13
1999.2034,-11.53
1999.2306,-10.13
1999.2577,-7.63
1999.2848,-5.13
1999.3392,-8.03
1999.3663,-13.53
1999.3933,-16.03
1999.4206,-10.23
1999.4478,-11.33
1999.4749,-7.03
1999.502,-4.33
1999.5292,-9.03
1999.5566,-10.33
1999.5834,-4.13
1999.6106,-3.03
1999.6377,2.07
1999.692,-2.73
1999.7192,1.57
1999.7462,3.07
1999.7735,11.57
1999.8008,10.97
1999.8278,5.67
1999.855,-0.93
1999.8822,-1.33
1999.9092,1.67
1999.9636,7.87
1999.9907,5.97
2000.0178,-2.83
2000.045,-2.93
2000.0721,3.67
2000.0993,0.97
2000.1264,-1.33
2000.1536,-4.33
2000.1807,-9.03
2000.2078,-9.33
2000.235,-0.93
2000.2894,-2.33
2000.3165,-8.23
2000.3436,-12.63
2000.3707,-12.03
2000.3978,-8.13
2000.425,-3.63
2000.4522,-4.73
2000.4794,-7.83
2000.5065,-9.43
2000.5337,-5.93
2000.5879,-1.73
2000.6149,0.37
2000.6423,-0.93
2000.6694,-6.33
2000.6965,-1.73
2000.7235,8.07
2000.7509,13.27
2000.778,12.37
2000.8051,5.07
2000.8595,4.97
2000.886,7.87
2000.9145,9.57
2000.9409,6.97
2000.9681,2.97
2000.9952,2.67
2001.0222,2.67
2001.0766,4.17
2001.1038,0.67
2001.1309,-6.23
2001.1581,-5.33
2001.1852,0.67
2001.2124,-0.43
2001.2395,3.37
2001.2666,0.67
2001.2937,-2.63
2001.321,-6.73
2001.3482,-4.93
2001.3752,0.57
2001.4024,0.47
2001.4296,-1.13
2001.4567,-6.13
2001.484,-0.63
2001.511,2.27
2001.5381,7.17
2001.5653,4.77
2001.5924,6.77
2001.6195,0.47
2001.6468,0.17
2001.6738,5.67
2001.701,15.97
2001.7283,16.97
2001.7553,15.17
2001.7825,7.97
2001.8096,4.27
2001.8368,11.87
2001.8639,16.77
2001.8918,14.77
2001.9182,11.17
2001.9454,4.97
2001.9725,3.87
2001.9996,10.57
2002.027,7.27
2002.0537,0.47
2002.054,5.27
2002.0811,3.87
2002.0819,6.07
2002.1083,2.62
2002.1352,6.77
2002.1354,0.07
2002.1626,5.02
2002.1897,5.17
2002.1898,-0.83
2002.2168,5.37
